2026 年 2 月分车型 TP重心 (数据桶),品牌,子车型,日期 年/月,燃料类型 (组),燃料类型 (组) 1,车型,车身形式,TP重心,销量,2026 年 2 月分车型 TP重心
0K,宝马,7系 PHEV,2026年2月,新能源,PHEV 和 REEV,7系,轿车,,,
0K,法拉利,296 GTB,2026年2月,新能源,PHEV 和 REEV,296,跑车,,,
0K,极狐,阿尔法S5 EV,2026年2月,新能源,BEV,阿尔法S5,轿车,,,
0K,极狐,阿尔法S6,2026年2月,新能源,BEV,阿尔法S6,轿车,,,
0K,极狐,阿尔法T5 EV,2026年2月,新能源,BEV,阿尔法T5,SUV,,,
0K,极狐,阿尔法T5 REEV,2026年2月,新能源,PHEV 和 REEV,阿尔法T5,SUV,,,
0K,极狐,阿尔法T6,2026年2月,新能源,BEV,阿尔法T6,SUV,,,
0K,阿维塔,阿维塔06 EV,2026年2月,新能源,BEV,阿维塔06,轿车,,,
0K,阿维塔,阿维塔06 REEV,2026年2月,新能源,PHEV 和 REEV,阿维塔06,轿车,,,
0K,阿维塔,阿维塔07 EV,2026年2月,新能源,BEV,阿维塔07,SUV,,,
0K,阿维塔,阿维塔07 REEV,2026年2月,新能源,PHEV 和 REEV,阿维塔07,SUV,,,
0K,阿维塔,阿维塔11 EV,2026年2月,新能源,BEV,阿维塔11,SUV,,,
0K,阿维塔,阿维塔11 REEV,2026年2月,新能源,PHEV 和 REEV,阿维塔11,SUV,,,
0K,阿维塔,阿维塔12 EV,2026年2月,新能源,BEV,阿维塔12,轿车,,,
0K,阿维塔,阿维塔12 REEV,2026年2月,新能源,PHEV 和 REEV,阿维塔12,轿车,,,
0K,欧拉,芭蕾猫,2026年2月,新能源,BEV,芭蕾猫,轿车,,,
0K,方程豹,豹5,2026年2月,新能源,PHEV 和 REEV,豹5,SUV,,,
0K,方程豹,豹8,2026年2月,新能源,PHEV 和 REEV,豹8,SUV,,,
0K,奔腾,奔腾小马,2026年2月,新能源,BEV,奔腾小马,轿车,32274.129,1489,32274.129
0K,别克,别克E5,2026年2月,新能源,BEV,别克E5,SUV,,,
0K,丰田,铂智3X,2026年2月,新能源,BEV,铂智3X,SUV,,,
0K,丰田,铂智4X,2026年2月,新能源,BEV,铂智4X,SUV,,,
0K,迈克萨斯,大家7,2026年2月,新能源,BEV,大家7,MPV,,,
0K,迈克萨斯,大家7超混,2026年2月,新能源,PHEV 和 REEV,大家7,MPV,,,
0K,迈克萨斯,大家9,2026年2月,新能源,BEV,大家9,MPV,,,
0K,迈克萨斯,大家9超混,2026年2月,新能源,PHEV 和 REEV,大家9,MPV,,,
0K,JEEP,大切诺基4xe,2026年2月,新能源,PHEV 和 REEV,大切诺基,SUV,,,
0K,奇瑞QQ,多米,2026年2月,新能源,BEV,多米,轿车,,,
0K,宾利,飞驰PHEV,2026年2月,新能源,PHEV 和 REEV,飞驰,轿车,,,
0K,东风风光,风光E380,2026年2月,新能源,BEV,风光,MPV,,,40687.685033643
0K,东风风神,风神L7 EV,2026年2月,新能源,BEV,风神L7,SUV,,,
0K,东风风神,风神L7 PHEV,2026年2月,新能源,PHEV 和 REEV,风神L7,SUV,,,
0K,东风风神,风神L7X,2026年2月,新能源,BEV,风神L7,SUV,,,
0K,东风风神,风神L8,2026年2月,新能源,PHEV 和 REEV,风神L8,SUV,,,
0K,东风风行,风行雷霆,2026年2月,新能源,BEV,风行雷霆,SUV,,,
0K,东风风行,风行雷霆 REEV,2026年2月,新能源,PHEV 和 REEV,风行雷霆,SUV,,,
0K,风云,风云A8,2026年2月,新能源,PHEV 和 REEV,风云A8,轿车,,,
0K,风云,风云A8L,2026年2月,新能源,PHEV 和 REEV,风云A8,轿车,,,
0K,风云,风云A9L,2026年2月,新能源,PHEV 和 REEV,风云A9,轿车,,,
0K,风云,风云T8,2026年2月,新能源,PHEV 和 REEV,风云T8,SUV,,,
0K,风云,风云T9,2026年2月,新能源,PHEV 和 REEV,风云T9,SUV,,,
0K,风云,风云T10,2026年2月,新能源,PHEV 和 REEV,风云T10,SUV,,,
0K,风云,风云T11,2026年2月,新能源,PHEV 和 REEV,风云T11,SUV,,,
0K,风云,风云X3,2026年2月,新能源,BEV,风云X3,SUV,,,
0K,风云,风云X3 PLUS,2026年2月,新能源,BEV,风云X3 PLUS,SUV,,,
0K,风云,风云X3L,2026年2月,新能源,PHEV 和 REEV,风云X3L,SUV,,,
0K,魏牌,高山DHT-PHEV,2026年2月,新能源,PHEV 和 REEV,高山,MPV,,,
0K,哈弗,哈弗大狗PLUS PHEV,2026年2月,新能源,PHEV 和 REEV,哈弗大狗PLUS,SUV,,,
0K,哈弗,哈弗猛龙PHEV,2026年2月,新能源,PHEV 和 REEV,哈弗猛龙,SUV,,,
0K,哈弗,哈弗枭龙MAX,2026年2月,新能源,PHEV 和 REEV,哈弗枭龙MAX,SUV,,,
0K,比亚迪,海豹 EV,2026年2月,新能源,BEV,海豹,轿车,,,
0K,比亚迪,海豹05 DM-i,2026年2月,新能源,PHEV 和 REEV,海豹05,轿车,,,
0K,比亚迪,海豹06 DM-i,2026年2月,新能源,PHEV 和 REEV,海豹06,轿车,,,
0K,比亚迪,海豹06 DM-i旅行版,2026年2月,新能源,PHEV 和 REEV,海豹06,轿车,,,
0K,比亚迪,海豹06 EV,2026年2月,新能源,BEV,海豹06,轿车,,,
0K,比亚迪,海豹06 GT,2026年2月,新能源,BEV,海豹06,轿车,,,
0K,比亚迪,海豹07 DM-i,2026年2月,新能源,PHEV 和 REEV,海豹07,轿车,,,
0K,比亚迪,海鸥 EV,2026年2月,新能源,BEV,海鸥,轿车,,,
0K,比亚迪,海狮05 DM-i,2026年2月,新能源,PHEV 和 REEV,海狮05,SUV,,,
0K,比亚迪,海狮05 EV,2026年2月,新能源,BEV,海狮05,SUV,,,
0K,比亚迪,海狮06 DM-i,2026年2月,新能源,PHEV 和 REEV,海狮06,SUV,,,
0K,比亚迪,海狮06 EV,2026年2月,新能源,BEV,海狮06,SUV,,,
0K,比亚迪,海狮07 DM-i,2026年2月,新能源,PHEV 和 REEV,海狮07,SUV,,,
0K,比亚迪,海狮07 EV,2026年2月,新能源,BEV,海狮07,SUV,,,
0K,比亚迪,海豚 EV,2026年2月,新能源,BEV,海豚,轿车,,,
0K,比亚迪,汉DM-i,2026年2月,新能源,PHEV 和 REEV,汉,轿车,,,
0K,比亚迪,汉EV,2026年2月,新能源,BEV,汉,轿车,,,
0K,比亚迪,汉L DM,2026年2月,新能源,PHEV 和 REEV,汉L,轿车,,,
0K,比亚迪,汉L EV,2026年2月,新能源,BEV,汉L,轿车,,,
0K,广汽昊铂,昊铂GT,2026年2月,新能源,BEV,昊铂GT,轿车,,,
0K,广汽昊铂,昊铂HL EV,2026年2月,新能源,BEV,昊铂HL,SUV,,,
0K,广汽昊铂,昊铂HL REEV,2026年2月,新能源,PHEV 和 REEV,昊铂HL,SUV,,,
0K,广汽昊铂,昊铂HT,2026年2月,新能源,BEV,昊铂HT,SUV,,,
0K,本田,皓影e:PHEV,2026年2月,新能源,PHEV 和 REEV,皓影,SUV,,,
0K,五菱,宏光MINI EV,2026年2月,新能源,BEV,宏光MINI EV,轿车,38076.089676090,5240,38076.089676090
0K,钇为,花仙子,2026年2月,新能源,BEV,花仙子,轿车,,,
0K,极狐,极狐T1,2026年2月,新能源,BEV,极狐T1,轿车,,,
0K,极氪,极氪7X,2026年2月,新能源,BEV,极氪7X,SUV,,,
0K,极氪,极氪9X,2026年2月,新能源,PHEV 和 REEV,极氪9X,SUV,,,
0K,极氪,极氪001,2026年2月,新能源,BEV,极氪001,轿车,,,
0K,极氪,极氪007,2026年2月,新能源,BEV,极氪007,轿车,,,
0K,极氪,极氪007 GT,2026年2月,新能源,BEV,极氪007,轿车,,,
0K,极氪,极氪009,2026年2月,新能源,BEV,极氪009,MPV,,,
0K,极氪,极氪MIX,2026年2月,新能源,BEV,极氪MIX,MPV,,,
0K,极氪,极氪X,2026年2月,新能源,BEV,极氪X,SUV,,,
0K,本田,极湃2,2026年2月,新能源,BEV,极湃2,SUV,,,
0K,极石,极石ADAMAS,2026年2月,新能源,PHEV 和 REEV,极石ADAMAS,SUV,,,
0K,江淮,江淮QX PHEV,2026年2月,新能源,PHEV 和 REEV,江淮QX PHEV,SUV,,,
0K,江淮,江淮X8 E家,2026年2月,新能源,PHEV 和 REEV,江淮X8,SUV,,,
0K,捷途,捷途X70 C-DM,2026年2月,新能源,PHEV 和 REEV,捷途X70,SUV,,,
0K,捷途,捷途X70 PLUS C-DM,2026年2月,新能源,PHEV 和 REEV,捷途X70,SUV,,,
0K,捷途,捷途X90 C-DM,2026年2月,新能源,PHEV 和 REEV,捷途X90,SUV,,,
0K,smart,精灵#1,2026年2月,新能源,BEV,精灵#1,SUV,,,
0K,smart,精灵#3,2026年2月,新能源,BEV,精灵#3,SUV,,,
0K,smart,精灵#5,2026年2月,新能源,BEV,精灵#5,SUV,,,
0K,smart,精灵#5 EHD,2026年2月,新能源,PHEV 和 REEV,精灵#5,SUV,,,
0K,极狐,考拉,2026年2月,新能源,BEV,考拉,MPV,,,
0K,极狐,考拉S,2026年2月,新能源,BEV,考拉,SUV,,,
0K,岚图,岚图泰山,2026年2月,新能源,PHEV 和 REEV,岚图泰山,SUV,,,
0K,岚图,岚图知音,2026年2月,新能源,BEV,岚图知音,SUV,,,
0K,岚图,岚图追光EV,2026年2月,新能源,BEV,岚图追光,轿车,,,
0K,岚图,岚图追光L PHEV,2026年2月,新能源,PHEV 和 REEV,岚图追光L,轿车,,,
0K,岚图,岚图追光PHEV,2026年2月,新能源,PHEV 和 REEV,岚图追光,轿车,,,
0K,岚图,岚图FREE REEV,2026年2月,新能源,PHEV 和 REEV,岚图FREE,SUV,,,
0K,蓝电,蓝电E5 PLUS,2026年2月,新能源,PHEV 和 REEV,蓝电E5,SUV,,,
0K,魏牌,蓝山DHT-PHEV,2026年2月,新能源,PHEV 和 REEV,蓝山,SUV,,,
0K,乐道,乐道L60,2026年2月,新能源,BEV,乐道L60,SUV,,,
0K,乐道,乐道L90,2026年2月,新能源,BEV,乐道L90,SUV,,,
0K,理想,理想i6,2026年2月,新能源,BEV,理想i6,SUV,,,
0K,理想,理想i8,2026年2月,新能源,BEV,理想i8,SUV,,,
0K,理想,理想L6,2026年2月,新能源,PHEV 和 REEV,理想L6,SUV,,,
0K,理想,理想L7,2026年2月,新能源,PHEV 和 REEV,理想L7,SUV,,,
0K,理想,理想L8,2026年2月,新能源,PHEV 和 REEV,理想L8,SUV,,,
0K,理想,理想L9,2026年2月,新能源,PHEV 和 REEV,理想L9,SUV,,,
0K,理想,理想MEGA,2026年2月,新能源,BEV,理想MEGA,MPV,,,
0K,灵悉,灵悉L,2026年2月,新能源,BEV,灵悉L,轿车,,,
0K,凌宝汽车,凌宝BOX,2026年2月,新能源,BEV,凌宝BOX,轿车,47730.348169652,30,47730.348169652
0K,凌宝汽车,凌宝uni,2026年2月,新能源,BEV,凌宝uni,轿车,33189.734,7,33189.734
0K,东风风行,菱智 EV,2026年2月,新能源,BEV,菱智,MPV,,,
0K,东风风行,菱智REEV,2026年2月,新能源,PHEV 和 REEV,菱智,MPV,,,
0K,零跑,零跑B01,2026年2月,新能源,BEV,零跑B01,轿车,,,
0K,零跑,零跑B10,2026年2月,新能源,BEV,零跑B10,SUV,,,
0K,零跑,零跑C01 EV,2026年2月,新能源,BEV,零跑C01,轿车,,,
0K,零跑,零跑C01 REEV,2026年2月,新能源,PHEV 和 REEV,零跑C01,轿车,,,
0K,零跑,零跑C10 EV,2026年2月,新能源,BEV,零跑C10,SUV,,,
0K,零跑,零跑C10 REEV,2026年2月,新能源,PHEV 和 REEV,零跑C10,SUV,,,
0K,零跑,零跑C11 EV,2026年2月,新能源,BEV,零跑C11,SUV,,,
0K,零跑,零跑C11 REEV,2026年2月,新能源,PHEV 和 REEV,零跑C11,SUV,,,
0K,零跑,零跑C16 EV,2026年2月,新能源,BEV,零跑C16,SUV,,,
0K,零跑,零跑C16 REEV,2026年2月,新能源,PHEV 和 REEV,零跑C16,SUV,,,
0K,零跑,零跑Lafa5,2026年2月,新能源,BEV,零跑Lafa5,轿车,,,
0K,零跑,零跑T03,2026年2月,新能源,BEV,零跑T03,轿车,,,
0K,领克,领克06 EM-P,2026年2月,新能源,PHEV 和 REEV,领克06,SUV,,,
0K,领克,领克07 EM-P,2026年2月,新能源,PHEV 和 REEV,领克07,轿车,,,
0K,领克,领克08 EM-P,2026年2月,新能源,PHEV 和 REEV,领克08,SUV,,,
0K,领克,领克09 EM-P,2026年2月,新能源,PHEV 和 REEV,领克09,SUV,,,
0K,领克,领克10 EM-P,2026年2月,新能源,PHEV 和 REEV,领克10,轿车,,,
0K,领克,领克900,2026年2月,新能源,PHEV 和 REEV,领克900,SUV,,,
0K,领克,领克Z10,2026年2月,新能源,BEV,领克Z10,轿车,,,
0K,领克,领克Z20,2026年2月,新能源,BEV,领克Z20,SUV,,,
0K,福特,领睿PHEV,2026年2月,新能源,PHEV 和 REEV,领睿,SUV,,,
0K,福特,领裕PHEV,2026年2月,新能源,PHEV 和 REEV,领裕,SUV,,,
0K,捷途,旅行者 C-DM,2026年2月,新能源,PHEV 和 REEV,旅行者,SUV,,,
0K,猛士,猛士M817,2026年2月,新能源,PHEV 和 REEV,猛士M817,SUV,,,
0K,岚图,梦想家EV,2026年2月,新能源,BEV,梦想家,MPV,,,
0K,岚图,梦想家PHEV,2026年2月,新能源,PHEV 和 REEV,梦想家,MPV,,,
0K,魏牌,摩卡DHT-PHEV,2026年2月,新能源,PHEV 和 REEV,摩卡,SUV,,,
0K,JEEP,牧马人4xe,2026年2月,新能源,PHEV 和 REEV,牧马人,SUV,,,
0K,东风奕派,纳米01,2026年2月,新能源,BEV,纳米01,轿车,,,
0K,东风奕派,纳米06,2026年2月,新能源,BEV,纳米06,SUV,,,
0K,欧拉,欧拉5 EV,2026年2月,新能源,BEV,欧拉5,SUV,,,
0K,欧拉,欧拉好猫,2026年2月,新能源,BEV,欧拉好猫,轿车,,,
0K,欧拉,欧拉好猫GT,2026年2月,新能源,BEV,欧拉好猫,轿车,,,
0K,欧尚汽车,欧尚Z6 iDD,2026年2月,新能源,PHEV 和 REEV,欧尚Z6,SUV,,,
0K,大众,帕萨特 PHEV,2026年2月,新能源,PHEV 和 REEV,帕萨特,轿车,,,
0K,启辰,启辰大V DD-i,2026年2月,新能源,PHEV 和 REEV,启辰大V,SUV,,,
0K,比亚迪,秦L DM-i,2026年2月,新能源,PHEV 和 REEV,秦,轿车,,,
0K,比亚迪,秦L EV,2026年2月,新能源,BEV,秦,轿车,,,
0K,比亚迪,秦PLUS DM-i,2026年2月,新能源,PHEV 和 REEV,秦,轿车,,,
0K,比亚迪,秦PLUS EV,2026年2月,新能源,BEV,秦,轿车,,,
0K,荣威,荣威i6 MAX EV,2026年2月,新能源,BEV,荣威i6,轿车,,,
0K,瑞风,瑞风E3,2026年2月,新能源,BEV,瑞风M3,MPV,,,
0K,瑞风,瑞风E4,2026年2月,新能源,BEV,瑞风M4,MPV,,,
0K,瑞风,瑞风M3 PHEV,2026年2月,新能源,PHEV 和 REEV,瑞风M3,MPV,,,
0K,瑞风,瑞风RF8 PHEV,2026年2月,新能源,PHEV 和 REEV,瑞风RF8,MPV,,,
0K,奇瑞,瑞虎7 C-DM,2026年2月,新能源,PHEV 和 REEV,瑞虎7,SUV,,,
0K,奇瑞,瑞虎7 PHEV,2026年2月,新能源,PHEV 和 REEV,瑞虎7,SUV,,,
0K,奇瑞,瑞虎8 PHEV,2026年2月,新能源,PHEV 和 REEV,瑞虎8,SUV,,,
0K,奇瑞,瑞虎8 PLUS PHEV,2026年2月,新能源,PHEV 和 REEV,瑞虎8,SUV,,,
0K,奇瑞,瑞虎9 C-DM,2026年2月,新能源,PHEV 和 REEV,瑞虎9,SUV,,,
0K,捷途,山海L6,2026年2月,新能源,PHEV 和 REEV,山海L6,SUV,,,
0K,捷途,山海L7,2026年2月,新能源,PHEV 和 REEV,山海L7,SUV,,,
0K,捷途,山海L7 PLUS,2026年2月,新能源,PHEV 和 REEV,山海L7,SUV,,,
0K,捷途,山海L9,2026年2月,新能源,PHEV 和 REEV,山海L9,SUV,,,
0K,捷途,山海T1,2026年2月,新能源,PHEV 和 REEV,山海T1,SUV,,,
0K,欧拉,闪电猫,2026年2月,新能源,BEV,闪电猫,轿车,,,
0K,尚界,尚界H5 EV,2026年2月,新能源,BEV,尚界H5,SUV,,,
0K,尚界,尚界H5 REEV,2026年2月,新能源,PHEV 和 REEV,尚界H5,SUV,,,
0K,比亚迪,宋L DM-i,2026年2月,新能源,PHEV 和 REEV,宋L,SUV,,,
0K,比亚迪,宋L EV,2026年2月,新能源,BEV,宋L,SUV,,,
0K,比亚迪,宋PLUS DM-i,2026年2月,新能源,PHEV 和 REEV,宋,SUV,,,
0K,比亚迪,宋PLUS EV,2026年2月,新能源,BEV,宋,SUV,,,
0K,比亚迪,宋Pro DM-i,2026年2月,新能源,PHEV 和 REEV,宋,SUV,,,
0K,方程豹,钛3,2026年2月,新能源,BEV,钛3,SUV,,,
0K,方程豹,钛7 PHEV,2026年2月,新能源,PHEV 和 REEV,钛7,SUV,,,
0K,坦克,坦克300 Hi4-T,2026年2月,新能源,PHEV 和 REEV,坦克300,SUV,,,
0K,坦克,坦克400 Hi4-T,2026年2月,新能源,PHEV 和 REEV,坦克400,SUV,,,
0K,坦克,坦克400 Hi4-Z,2026年2月,新能源,PHEV 和 REEV,坦克400,SUV,,,
0K,坦克,坦克500 Hi4-T,2026年2月,新能源,PHEV 和 REEV,坦克500,SUV,,,
0K,坦克,坦克500 Hi4-Z,2026年2月,新能源,PHEV 和 REEV,坦克500,SUV,,,
0K,坦克,坦克700 Hi4-T,2026年2月,新能源,PHEV 和 REEV,坦克700,SUV,,,
0K,比亚迪,唐DM-i,2026年2月,新能源,PHEV 和 REEV,唐,SUV,,,
0K,比亚迪,唐L DM,2026年2月,新能源,PHEV 和 REEV,唐L,SUV,,,
0K,比亚迪,唐L EV,2026年2月,新能源,BEV,唐L,SUV,,,
0K,腾势,腾势D9 DM-i,2026年2月,新能源,PHEV 和 REEV,腾势D9,MPV,,,
0K,腾势,腾势D9 EV,2026年2月,新能源,BEV,腾势D9,MPV,,,
0K,腾势,腾势N7,2026年2月,新能源,BEV,腾势N7,SUV,,,
0K,腾势,腾势N8L,2026年2月,新能源,PHEV 和 REEV,腾势N8L,SUV,,,
0K,腾势,腾势N9 PHEV,2026年2月,新能源,PHEV 和 REEV,腾势N9,SUV,,,
0K,腾势,腾势Z9 EV,2026年2月,新能源,BEV,腾势Z9,轿车,,,
0K,腾势,腾势Z9 PHEV,2026年2月,新能源,PHEV 和 REEV,腾势Z9,轿车,,,
0K,腾势,腾势Z9GT EV,2026年2月,新能源,BEV,腾势Z9GT,轿车,,,
0K,腾势,腾势Z9GT PHEV,2026年2月,新能源,PHEV 和 REEV,腾势Z9GT,轿车,,,
0K,红旗,天工05,2026年2月,新能源,BEV,天工05,轿车,,,
0K,红旗,天工06,2026年2月,新能源,BEV,天工06,SUV,,,
0K,红旗,天工08,2026年2月,新能源,BEV,天工08,SUV,,,
0K,宾利,添越 PHEV,2026年2月,新能源,PHEV 和 REEV,添越,SUV,,,
0K,大众,途观L PHEV,2026年2月,新能源,PHEV 和 REEV,途观,SUV,,,
0K,别克,微蓝6,2026年2月,新能源,BEV,微蓝6,轿车,,,
0K,蔚来,蔚来EC6,2026年2月,新能源,BEV,蔚来EC6,SUV,,,
0K,蔚来,蔚来EC7,2026年2月,新能源,BEV,蔚来EC7,SUV,,,
0K,蔚来,蔚来ES6,2026年2月,新能源,BEV,蔚来ES6,SUV,,,
0K,蔚来,蔚来ES8,2026年2月,新能源,BEV,蔚来ES8,SUV,,,
0K,蔚来,蔚来ET5,2026年2月,新能源,BEV,蔚来ET5,轿车,,,
0K,蔚来,蔚来ET5T,2026年2月,新能源,BEV,蔚来ET5,轿车,,,
0K,蔚来,蔚来ET7,2026年2月,新能源,BEV,蔚来ET7,轿车,,,
0K,蔚来,蔚来ET9,2026年2月,新能源,BEV,蔚来ET9,轿车,,,
0K,AITO,问界M5 EV,2026年2月,新能源,BEV,问界M5,SUV,,,
0K,AITO,问界M5 REEV,2026年2月,新能源,PHEV 和 REEV,问界M5,SUV,,,
0K,AITO,问界M7 EV,2026年2月,新能源,BEV,问界M7,SUV,,,
0K,AITO,问界M7 REEV,2026年2月,新能源,PHEV 和 REEV,问界M7,SUV,,,
0K,AITO,问界M8 EV,2026年2月,新能源,BEV,问界M8,SUV,,,
0K,AITO,问界M8 REEV,2026年2月,新能源,PHEV 和 REEV,问界M8,SUV,,,
0K,AITO,问界M9 EV,2026年2月,新能源,BEV,问界M9,SUV,,,
0K,AITO,问界M9 REEV,2026年2月,新能源,PHEV 和 REEV,问界M9,SUV,,,
0K,五菱,五菱缤果,2026年2月,新能源,BEV,五菱缤果,轿车,,,
0K,五菱,五菱缤果PLUS,2026年2月,新能源,BEV,五菱缤果,轿车,,,
0K,五菱,五菱缤果S,2026年2月,新能源,BEV,五菱缤果,轿车,,,
0K,比亚迪,夏,2026年2月,新能源,PHEV 和 REEV,夏,MPV,,,
0K,享界,享界S9 EV,2026年2月,新能源,BEV,享界S9,轿车,,,
0K,享界,享界S9 REEV,2026年2月,新能源,PHEV 和 REEV,享界S9,轿车,,,
0K,享界,享界S9T EV,2026年2月,新能源,BEV,享界S9T,轿车,,,
0K,享界,享界S9T REEV,2026年2月,新能源,PHEV 和 REEV,享界S9T,轿车,,,
0K,宝骏,享境EV,2026年2月,新能源,BEV,享境,轿车,,,
0K,宝骏,享境PHEV,2026年2月,新能源,PHEV 和 REEV,享境,轿车,,,
0K,广汽传祺,向往M8,2026年2月,新能源,PHEV 和 REEV,向往M8,MPV,,,
0K,广汽传祺,向往S7 PHEV,2026年2月,新能源,PHEV 和 REEV,向往S7,SUV,,,
0K,广汽传祺,向往S9,2026年2月,新能源,PHEV 和 REEV,向往S9,SUV,,,
0K,奇瑞QQ,小蚂蚁,2026年2月,新能源,BEV,eQ,轿车,,,
0K,小米,小米SU7,2026年2月,新能源,BEV,小米SU7,轿车,,,
0K,五菱,星光560 EV,2026年2月,新能源,BEV,星光560,SUV,,,
0K,五菱,星光560 PHEV,2026年2月,新能源,PHEV 和 REEV,星光560,SUV,,,
0K,五菱,星光730 EV,2026年2月,新能源,BEV,星光730,MPV,,,
0K,五菱,星光730 PHEV,2026年2月,新能源,PHEV 和 REEV,星光730,MPV,,,
0K,五菱,星光EV,2026年2月,新能源,BEV,星光,轿车,,,
0K,五菱,星光PHEV,2026年2月,新能源,PHEV 和 REEV,星光,轿车,,,
0K,五菱,星光S EV,2026年2月,新能源,BEV,星光S,SUV,,,
0K,五菱,星光S PHEV,2026年2月,新能源,PHEV 和 REEV,星光S,SUV,,,
0K,东风风行,星海S7 EV,2026年2月,新能源,BEV,星海S7,轿车,,,
0K,东风风行,星海S7 REEV,2026年2月,新能源,PHEV 和 REEV,星海S7,轿车,,,
0K,东风风行,星海V9,2026年2月,新能源,PHEV 和 REEV,星海V9,MPV,,,
0K,星途,星纪元ES EV,2026年2月,新能源,BEV,星纪元ES,轿车,,,
0K,星途,星纪元ES REEV,2026年2月,新能源,PHEV 和 REEV,星纪元ES,轿车,,,
0K,星途,星纪元ET EV,2026年2月,新能源,BEV,星纪元ET,SUV,,,
0K,星途,星纪元ET REEV,2026年2月,新能源,PHEV 和 REEV,星纪元ET,SUV,,,
0K,星途,星途揽月C-DM,2026年2月,新能源,PHEV 和 REEV,星途揽月,SUV,,,
0K,星途,星途瑶光C-DM,2026年2月,新能源,PHEV 和 REEV,星途瑶光,SUV,,,
0K,星途,星途ET5,2026年2月,新能源,PHEV 和 REEV,星途ET5,SUV,,,
0K,吉利银河,星愿,2026年2月,新能源,BEV,星愿,轿车,,,
0K,吉利银河,熊猫mini,2026年2月,新能源,BEV,熊猫mini,轿车,40563.636863637,1376,40563.636863637
0K,本田,雅阁e:PHEV,2026年2月,新能源,PHEV 和 REEV,雅阁,轿车,,,
0K,钇为,钇为3,2026年2月,新能源,BEV,钇为3,轿车,,,
0K,雷诺江铃,易至EV2,2026年2月,新能源,BEV,易至EV2,轿车,39270.887729112,122,39270.887729112
0K,易至,易至EV3,2026年2月,新能源,BEV,易至EV3,轿车,,,
0K,雷诺江铃,羿,2026年2月,新能源,BEV,羿,轿车,,,
0K,易至,羿驰05,2026年2月,新能源,BEV,羿驰05,轿车,,,
0K,长安,逸动PHEV,2026年2月,新能源,PHEV 和 REEV,逸动,轿车,,,
0K,吉利银河,翼真L380,2026年2月,新能源,BEV,翼真L380,MPV,,,
0K,吉利银河,银河星舰7 EM-i,2026年2月,新能源,PHEV 和 REEV,银河星舰7,SUV,,,
0K,吉利银河,银河星耀6,2026年2月,新能源,PHEV 和 REEV,银河星耀6,轿车,,,
0K,吉利银河,银河星耀8,2026年2月,新能源,PHEV 和 REEV,银河星耀8,轿车,,,
0K,吉利银河,银河A7,2026年2月,新能源,PHEV 和 REEV,银河A7,轿车,,,
0K,吉利银河,银河E5,2026年2月,新能源,BEV,银河E5,SUV,,,
0K,吉利银河,银河E8,2026年2月,新能源,BEV,银河E8,轿车,,,
0K,吉利银河,银河L6,2026年2月,新能源,PHEV 和 REEV,银河L6,轿车,,,
0K,吉利银河,银河L7,2026年2月,新能源,PHEV 和 REEV,银河L7,SUV,,,
0K,吉利银河,银河M9,2026年2月,新能源,PHEV 和 REEV,银河M9,SUV,,,
0K,吉利银河,银河V900,2026年2月,新能源,PHEV 和 REEV,银河V900,MPV,,,
0K,本田,英仕派e:PHEV,2026年2月,新能源,PHEV 和 REEV,英仕派,轿车,,,
0K,萤火虫,萤火虫,2026年2月,新能源,BEV,萤火虫,轿车,,,
0K,大众,与众06,2026年2月,新能源,BEV,与众06,SUV,,,
0K,比亚迪,元PLUS,2026年2月,新能源,BEV,元,SUV,,,
0K,比亚迪,元UP,2026年2月,新能源,BEV,元,SUV,,,
0K,宝骏,悦也,2026年2月,新能源,BEV,悦也,SUV,,,
0K,宝骏,悦也Plus,2026年2月,新能源,BEV,悦也,SUV,,,
0K,奔腾,悦意03,2026年2月,新能源,BEV,悦意03,SUV,,,
0K,奔腾,悦意07,2026年2月,新能源,PHEV 和 REEV,悦意07,SUV,,,
0K,宝骏,云海 EV,2026年2月,新能源,BEV,云海,SUV,,,
0K,宝骏,云海 PHEV,2026年2月,新能源,PHEV 和 REEV,云海,SUV,,,
0K,别克,至境世家 PHEV,2026年2月,新能源,PHEV 和 REEV,至境世家,MPV,,,
0K,别克,至境L7,2026年2月,新能源,PHEV 和 REEV,至境L7,轿车,,,
0K,智己,智己L6,2026年2月,新能源,BEV,智己L6,轿车,,,
0K,智己,智己L7,2026年2月,新能源,BEV,智己L7,轿车,,,
0K,智己,智己LS6 EV,2026年2月,新能源,BEV,智己LS6,SUV,,,
0K,智己,智己LS6 REEV,2026年2月,新能源,PHEV 和 REEV,智己LS6,SUV,,,
0K,智己,智己LS7,2026年2月,新能源,BEV,智己LS7,SUV,,,
0K,智己,智己LS9,2026年2月,新能源,PHEV 和 REEV,智己LS9,SUV,,,
0K,智界,智界R7 EV,2026年2月,新能源,BEV,智界R7,SUV,,,
0K,智界,智界R7 REEV,2026年2月,新能源,PHEV 和 REEV,智界R7,SUV,,,
0K,智界,智界S7,2026年2月,新能源,BEV,智界S7,轿车,,,
0K,福特,智趣烈马 EV,2026年2月,新能源,BEV,智趣烈马,SUV,,,
0K,福特,智趣烈马 REEV,2026年2月,新能源,PHEV 和 REEV,智趣烈马,SUV,,,
0K,捷途,纵横G700,2026年2月,新能源,PHEV 和 REEV,纵横G700,SUV,,,
